,Level,Date and Time,Source,Event ID,Task Category,
1,Error,01-12-2022 10:48,Microsoft-Windows-WHEA-Logger,1,None,A fatal hardware error has occurred. A record describing the condition is contained in the data section of this event.
2,Error,01-12-2022 10:47,Service Control Manager,7000,None,"The bfs service failed to start due to the following error: 
Access is denied."
3,Error,01-12-2022 10:47,EventLog,6008,None,The previous system shutdown at 10:44:41 AM on ?12/?1/?2022 was unexpected.
4,Error,01-12-2022 10:44,Microsoft-Windows-Kernel-Power,86,-83,"The system was shut down due to a critical thermal event.             
Shutdown Time = ?2022?-?12?-?01T05:14:45.759549300Z             
ACPI Thermal Zone = \_TZ.TZ01             
_CRT = 368K"
5,Error,01-12-2022 10:44,Service Control Manager,7000,None,"The bfs service failed to start due to the following error: 
Access is denied."
6,Error,01-12-2022 10:44,Application Error,1000,Application Crashing Events,"Faulting application name: mfevtps.exe, version: 22.7.0.191, time stamp: 0x62b9312c
Faulting module name: ntdll.dll, version: 10.0.22621.755, time stamp: 0x8a328c67
Exception code: 0xc0000005
Fault offset: 0x000000000003419a
Faulting process id: 0x0xBB4
Faulting application start time: 0x0x1D903FB1A2C9D4A
Faulting application path: C:\Windows\system32\mfevtps.exe
Faulting module path: C:\WINDOWS\SYSTEM32\ntdll.dll
Report Id: 6b11bddb-83f6-49e1-be95-7ff1c5832db3
Faulting package full name: 
Faulting package-relative application ID: "
7,Error,01-12-2022 10:33,Microsoft-Windows-WindowsUpdateClient,20,Windows Update Agent,Installation Failure: Windows failed to install the following update with error 0x80073D05: 9NBLGGH4MSV6-CanonicalGroupLimited.UbuntuonWindows.
8,Error,01-12-2022 10:32,Microsoft-Windows-WindowsUpdateClient,20,Windows Update Agent,Installation Failure: Windows failed to install the following update with error 0x80073D05: 9NBLGGH4MSV6-CanonicalGroupLimited.UbuntuonWindows.
9,Error,01-12-2022 10:32,Microsoft-Windows-WindowsUpdateClient,20,Windows Update Agent,Installation Failure: Windows failed to install the following update with error 0x80073D05: 9NBLGGH4MSV6-CanonicalGroupLimited.UbuntuonWindows.
10,Error,01-12-2022 10:31,Microsoft-Windows-WindowsUpdateClient,20,Windows Update Agent,Installation Failure: Windows failed to install the following update with error 0x80073D05: 9NBLGGH4MSV6-CanonicalGroupLimited.UbuntuonWindows.
11,Error,01-12-2022 10:04,Application Error,1000,Application Crashing Events,"Faulting application name: WhatsApp.exe, version: 0.0.0.0, time stamp: 0x6374cccb
Faulting module name: WhatsApp.dll, version: 0.0.0.0, time stamp: 0x6374cccb
Exception code: 0x00001007
Fault offset: 0x0000000004affd76
Faulting process id: 0x0x2FF4
Faulting application start time: 0x0x1D9053567CB56B1
Faulting application path: C:\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2245.5.0_x64__cv1g1gvanyjgm\WhatsApp.exe
Faulting module path: C:\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2245.5.0_x64__cv1g1gvanyjgm\WhatsApp.dll
Report Id: 820d7022-9212-43ff-a357-c15ec68de68d
Faulting package full name: 5319275A.WhatsAppDesktop_2.2245.5.0_x64__cv1g1gvanyjgm
Faulting package-relative application ID: App"
12,Error,01-12-2022 09:50,Microsoft-Windows-WindowsUpdateClient,20,Windows Update Agent,Installation Failure: Windows failed to install the following update with error 0x80073D02: 9WZDNCRFJ364-MICROSOFT.SKYPEAPP.
13,Error,01-12-2022 09:01,Service Control Manager,7011,None,A timeout (30000 milliseconds) was reached while waiting for a transaction response from the WslService service.
14,Error,01-12-2022 09:01,Tcpip,4199,None,The system detected an address conflict for IP address 192.168.1.2 with the system having network hardware address 1A-02-16-21-C7-6F. Network operations on this system may be disrupted as a result.
15,Error,01-12-2022 06:57,Microsoft-Windows-WindowsUpdateClient,20,Windows Update Agent,Installation Failure: Windows failed to install the following update with error 0x80073D05: 9NBLGGH4MSV6-CanonicalGroupLimited.UbuntuonWindows.
16,Error,01-12-2022 06:50,Microsoft-Windows-WLAN-AutoConfig,10000,None,"WLAN Extensibility Module has failed to start.

Module Path: C:\WINDOWS\system32\IntelIHVRouter08.dll
Error Code: 21
"
17,Error,01-12-2022 06:49,Service Control Manager,7011,None,A timeout (30000 milliseconds) was reached while waiting for a transaction response from the WslService service.
18,Error,30-11-2022 18:01,Microsoft-Windows-WindowsUpdateClient,20,Windows Update Agent,Installation Failure: Windows failed to install the following update with error 0x80073D05: 9NBLGGH4MSV6-CanonicalGroupLimited.UbuntuonWindows.
19,Error,30-11-2022 14:31,Netwtw08,5002,None,Intel(R) Wireless-AC 9462 : Has determined that the network adapter is not functioning properly.
20,Error,30-11-2022 14:31,Netwtw08,5005,None,Intel(R) Wireless-AC 9462 : Has encountered an internal error and has failed.
21,Error,30-11-2022 13:51,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
22,Error,30-11-2022 13:51,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
23,Error,30-11-2022 13:51,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
24,Error,30-11-2022 13:51,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
25,Error,30-11-2022 13:51,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
26,Error,30-11-2022 13:51,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
27,Error,30-11-2022 13:51,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
28,Error,30-11-2022 13:51,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
29,Error,30-11-2022 13:51,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
30,Error,30-11-2022 13:51,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
31,Error,30-11-2022 13:51,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
32,Error,30-11-2022 13:51,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
33,Error,30-11-2022 13:51,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
34,Error,30-11-2022 13:51,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
35,Error,30-11-2022 13:51,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
36,Error,30-11-2022 13:51,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
37,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
38,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
39,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
40,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
41,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
42,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
43,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
44,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
45,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
46,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
47,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
48,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
49,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
50,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
51,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
52,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
53,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
54,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
55,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
56,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
57,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
58,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
59,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
60,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
61,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
62,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
63,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
64,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
65,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
66,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
67,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
68,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
69,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
70,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
71,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
72,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
73,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
74,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
75,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
76,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
77,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
78,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
79,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
80,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
81,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
82,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
83,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
84,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
85,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
86,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
87,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
88,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
89,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
90,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
91,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
92,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
93,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
94,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
95,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
96,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
97,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
98,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
99,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
100,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
101,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
102,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
103,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
104,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
105,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
106,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
107,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
108,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
109,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
110,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
111,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
112,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
113,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
114,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
115,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
116,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
117,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
118,Error,30-11-2022 13:43,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
119,Error,30-11-2022 13:42,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
120,Error,30-11-2022 13:42,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
121,Error,30-11-2022 13:42,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
122,Error,30-11-2022 13:42,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
123,Error,30-11-2022 13:42,Microsoft-Windows-HAL,15,None,The iommu has detected an error.
